epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,44604.2,1.1208,0.51614,0.01311,0.57238,0.49772,0.50288,0.36341,0.97653,0.35252,0.0153,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,45417.3,1.11818,0.51239,0.01308,0.5702,0.50276,0.50453,0.36549,0.97496,0.35208,0.01528,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,46217.9,1.1157,0.51263,0.013,0.58385,0.50241,0.50549,0.3664,0.97556,0.35027,0.01529,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,46991.6,1.11044,0.51178,0.0129,0.58555,0.50191,0.50479,0.36531,0.9762,0.3491,0.0153,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1091.32,1.08715,0.48349,0.01254,0.59448,0.50046,0.50652,0.3664,0.9742,0.34748,0.01526,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2106.05,1.09146,0.49242,0.01267,0.58395,0.50907,0.51029,0.36946,0.97183,0.34711,0.01519,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3143.82,1.0904,0.49539,0.01255,0.58569,0.50805,0.51115,0.37036,0.97051,0.34575,0.01516,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4052.46,1.09208,0.49572,0.01273,0.58614,0.50732,0.51128,0.36891,0.96765,0.34512,0.01506,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5037.04,1.10174,0.49742,0.01273,0.59095,0.50191,0.51412,0.37153,0.96631,0.34413,0.01503,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5860.18,1.0983,0.49176,0.01275,0.58111,0.51276,0.51401,0.37185,0.96504,0.34344,0.015,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6815.37,1.09414,0.49031,0.01272,0.58638,0.51147,0.5148,0.37213,0.96569,0.34328,0.01504,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7827.27,1.08759,0.48896,0.01256,0.5751,0.51567,0.51376,0.37033,0.96561,0.34779,0.01506,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8777.88,1.08895,0.49216,0.01249,0.57197,0.5103,0.51669,0.37255,0.96528,0.35207,0.01507,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,788.623,1.05759,0.45788,0.01208,0.5693,0.51244,0.51911,0.37378,0.96568,0.35336,0.0151,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,1536.69,1.06289,0.46897,0.01222,0.57748,0.52394,0.52263,0.37619,0.96619,0.34732,0.01515,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2332.27,1.05968,0.47091,0.01204,0.57864,0.52492,0.52423,0.37687,0.96504,0.34452,0.01511,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3220.65,1.06363,0.46908,0.01224,0.57682,0.52599,0.52549,0.37895,0.96489,0.34177,0.0151,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4075.9,1.07209,0.47241,0.01222,0.5803,0.53118,0.52661,0.37969,0.96441,0.33882,0.01511,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4956.5,1.06837,0.46746,0.01223,0.5901,0.52643,0.52712,0.38043,0.96316,0.33698,0.01507,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5807,1.06172,0.46693,0.01215,0.58412,0.52907,0.52758,0.3806,0.96232,0.33562,0.01506,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,780.567,1.02974,0.43978,0.01163,0.58025,0.53325,0.52773,0.38047,0.96245,0.33469,0.01506,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,1547.91,1.03279,0.45171,0.01175,0.58087,0.53605,0.52815,0.38096,0.96202,0.3342,0.01505,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,2305.23,1.03603,0.45681,0.01167,0.58307,0.53314,0.52835,0.38109,0.96187,0.33355,0.01504,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3055.67,1.03563,0.45621,0.01179,0.59135,0.53177,0.52837,0.38087,0.96137,0.33232,0.01503,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
